,backtest
2019-01-02,10000000
2019-04-01,11013617
2019-07-01,11455938
2019-10-01,11546693
2020-01-02,12142855
2020-04-01,11216222
2020-07-01,12976204
2020-10-05,13618307
2021-01-04,14464154
2021-04-01,14596637
2021-07-01,15287204
